Calif Global;Puntaje Lectura Critica;Puntaje Matemática;Promedio Ciclo lectivo 1;Total Créditos Cursados 1;Total Créditos Aprobados 1;Promedio Ponderado Acumulado 1;Promedio Ciclo lectivo 2;Total Créditos Cursados 2;Total Créditos Aprobados 2;Promedio Ponderado Acumulado 2;tasa_aprobacion;Sexo = M;Sexo = F;Benef. Beca = N;Benef. Beca = Y;Estado Programa Académico 2;ID
316.0;60.0;62.0;3.6;16.0;16.0;3.6;3.4;31.0;28.0;3.5;.9;1.0;.0;1.0;.0;1;00020108864
335.0;65.0;75.0;3.9;19.0;19.0;3.9;3.7;38.0;38.0;3.8;1.0;1.0;.0;1.0;.0;1;00020119067
333.0;67.0;69.0;3.6;19.0;17.0;3.6;3.4;39.0;31.0;3.4;.8;1.0;.0;1.0;.0;1;00020121409
361.0;65.0;83.0;3.9;17.0;17.0;3.9;3.1;34.0;28.0;3.5;.8;.0;1.0;1.0;.0;0;00020123698
334.0;67.0;72.0;3.2;14.0;9.0;3.2;2.5;29.0;17.0;2.9;.6;1.0;.0;1.0;.0;0;00020125216
351.0;65.0;87.0;4.4;19.0;19.0;4.4;4.0;38.0;38.0;4.2;1.0;.0;1.0;1.0;.0;1;00020126927
327.0;58.0;61.0;4.2;18.0;18.0;4.2;3.1;36.0;33.0;3.7;.9;1.0;.0;1.0;.0;1;00020129471
358.0;67.0;72.0;3.6;19.0;19.0;3.6;3.1;38.0;30.0;3.4;.8;1.0;.0;1.0;.0;1;00020131061
324.0;63.0;66.0;4.1;18.0;18.0;4.1;3.7;36.0;36.0;3.9;1.0;.0;1.0;1.0;.0;1;00020134357
354.0;67.0;72.0;4.3;17.0;17.0;4.3;3.6;32.0;32.0;4.0;1.0;1.0;.0;1.0;.0;1;00020134474
325.0;60.0;66.0;4.0;16.0;16.0;4.0;3.5;36.0;36.0;3.7;1.0;.0;1.0;1.0;.0;1;00020134707
308.0;61.0;62.0;3.8;15.0;13.0;3.8;3.2;32.0;24.0;3.5;.8;.0;1.0;1.0;.0;1;00020134720
