Puntaje Lectura Critica;Puntaje Matemática;Promedio Ciclo lectivo 1;Total Créditos Cursados 1;Total Créditos Aprobados 1;Promedio Ponderado Acumulado 1;Promedio Ciclo lectivo 2;Total Créditos Cursados 2;Total Créditos Aprobados 2;Promedio Ponderado Acumulado 2;tasa_aprobacion;Sexo = M;Sexo = F;Estado Programa Académico 2;ID
65.0;79.0;4.3;18.0;18.0;4.3;4.4;37.0;37.0;4.4;1.0;.0;1.0;1;00020089777
55.0;74.0;3.3;18.0;9.0;3.3;3.6;37.0;28.0;3.4;.8;1.0;.0;1;00020109218
61.0;59.0;2.4;19.0;9.0;2.4;2.6;36.0;16.0;2.4;.4;1.0;.0;0;00020128845
60.0;62.0;3.9;19.0;19.0;3.9;4.1;19.0;19.0;4.1;1.0;1.0;.0;0;00020129900
75.0;90.0;4.1;17.0;17.0;4.1;4.3;34.0;34.0;4.2;1.0;1.0;.0;1;00020134242
57.0;79.0;4.1;18.0;18.0;4.1;3.4;37.0;34.0;3.7;.9;1.0;.0;1;00020134333
70.0;87.0;4.3;17.0;17.0;4.3;4.2;37.0;37.0;4.2;1.0;1.0;.0;1;00020134498
65.0;63.0;4.1;19.0;19.0;4.1;3.2;33.0;27.0;3.7;.8;.0;1.0;1;00020134711
49.0;65.0;3.8;18.0;12.0;3.8;3.3;40.0;31.0;3.5;.8;1.0;.0;1;00020134725
60.0;81.0;4.0;18.0;18.0;4.0;3.8;34.0;34.0;3.9;1.0;1.0;.0;1;00020134784
70.0;79.0;4.5;18.0;18.0;4.5;4.3;38.0;38.0;4.4;1.0;1.0;.0;1;00020134804
84.0;81.0;4.2;18.0;18.0;4.2;4.0;35.0;35.0;4.1;1.0;1.0;.0;1;00020135318
60.0;77.0;3.9;17.0;17.0;3.9;.0;.0;.0;.0;.0;1.0;.0;0;00020135892
67.0;79.0;4.3;19.0;19.0;4.3;3.9;39.0;39.0;4.1;1.0;1.0;.0;1;00020135915
63.0;74.0;3.4;18.0;15.0;3.4;3.3;32.0;26.0;3.3;.8;1.0;.0;0;00020135934
78.0;81.0;4.5;18.0;18.0;4.5;4.5;38.0;38.0;4.5;1.0;.0;1.0;1;00020136279
65.0;64.0;4.3;16.0;16.0;4.3;4.3;36.0;36.0;4.3;1.0;1.0;.0;1;00020136564
52.0;61.0;3.2;20.0;14.0;3.2;.0;.0;.0;.0;.0;1.0;.0;0;00020136695
72.0;77.0;4.0;18.0;18.0;4.0;3.5;37.0;34.0;3.8;.9;1.0;.0;1;00020136822
63.0;81.0;4.0;18.0;18.0;4.0;3.6;35.0;33.0;3.8;.9;1.0;.0;1;00020136875
52.0;77.0;3.8;19.0;19.0;3.8;3.2;37.0;34.0;3.5;.9;1.0;.0;1;00020137018
79.0;75.0;3.7;18.0;15.0;3.7;3.3;40.0;28.0;3.5;.7;1.0;.0;0;00020137282
78.0;75.0;3.9;18.0;18.0;3.9;3.6;37.0;37.0;3.7;1.0;.0;1.0;0;00020138336
63.0;74.0;3.4;18.0;15.0;3.4;2.9;40.0;29.0;3.2;.7;1.0;.0;0;00020138696
72.0;70.0;4.0;20.0;17.0;4.0;3.1;41.0;29.0;3.5;.7;1.0;.0;0;00020139492
67.0;53.0;2.9;16.0;6.0;2.9;3.7;29.0;19.0;3.2;.7;1.0;.0;0;00020139738
65.0;63.0;4.3;18.0;18.0;4.3;3.7;35.0;35.0;4.0;1.0;.0;1.0;1;00020139755
58.0;56.0;.7;18.0;.0;.7;.0;.0;.0;.0;.0;1.0;.0;0;00020140060
54.0;52.0;3.2;19.0;13.0;3.2;2.1;38.0;19.0;2.6;.5;1.0;.0;0;00020140155
69.0;62.0;4.0;19.0;19.0;4.0;3.4;32.0;29.0;3.8;.9;1.0;.0;0;00020140210
67.0;81.0;4.3;18.0;18.0;4.3;3.9;35.0;35.0;4.1;1.0;1.0;.0;1;00020140314
67.0;75.0;3.7;18.0;15.0;3.7;3.3;34.0;28.0;3.5;.8;1.0;.0;1;00020140778
50.0;52.0;3.7;19.0;16.0;3.7;3.5;36.0;30.0;3.6;.8;1.0;.0;1;00020140949
57.0;74.0;.0;.0;.0;.0;2.5;17.0;7.0;2.5;.4;1.0;.0;0;00020141249
58.0;64.0;4.5;18.0;18.0;4.5;4.0;32.0;32.0;4.3;1.0;.0;1.0;1;00020141309
75.0;75.0;4.4;20.0;20.0;4.4;3.9;38.0;38.0;4.2;1.0;.0;1.0;1;00020141531
63.0;55.0;3.1;19.0;13.0;3.1;3.4;36.0;24.0;3.2;.7;1.0;.0;0;00020141558
64.0;64.0;3.0;16.0;13.0;3.0;2.3;26.0;18.0;2.7;.7;.0;1.0;0;00020141592
65.0;77.0;3.9;15.0;15.0;3.9;3.7;34.0;34.0;3.8;1.0;1.0;.0;1;00020141636
65.0;69.0;4.4;20.0;20.0;4.4;3.9;38.0;38.0;4.1;1.0;1.0;.0;1;00020141708
72.0;79.0;4.7;19.0;19.0;4.7;4.3;38.0;38.0;4.5;1.0;.0;1.0;1;00020141911
60.0;67.0;3.9;18.0;18.0;3.9;3.0;37.0;28.0;3.4;.8;1.0;.0;1;00020142066
65.0;56.0;3.2;19.0;9.0;3.2;3.6;39.0;29.0;3.4;.7;1.0;.0;1;00020142084
60.0;74.0;4.3;18.0;18.0;4.3;4.3;38.0;38.0;4.3;1.0;1.0;.0;1;00020142158
60.0;77.0;3.7;19.0;16.0;3.7;3.3;35.0;29.0;3.5;.8;1.0;.0;1;00020142183
65.0;59.0;2.8;15.0;6.0;2.8;3.3;33.0;21.0;3.1;.6;1.0;.0;0;00020142310
69.0;65.0;2.2;19.0;4.0;2.2;.4;38.0;4.0;1.3;.1;1.0;.0;0;00020142315
58.0;67.0;3.0;17.0;7.0;3.0;3.4;35.0;23.0;3.2;.7;1.0;.0;1;00020142330
65.0;60.0;4.0;16.0;16.0;4.0;3.3;35.0;31.0;3.6;.9;1.0;.0;1;00020142344
78.0;92.0;3.4;18.0;18.0;3.4;2.9;34.0;25.0;3.2;.7;1.0;.0;0;00020142458
65.0;72.0;4.4;18.0;18.0;4.4;4.4;37.0;37.0;4.4;1.0;1.0;.0;1;00020142483
72.0;67.0;.0;.0;.0;.0;.7;18.0;.0;.7;.0;1.0;.0;0;00020142504
60.0;72.0;3.5;19.0;16.0;3.5;3.8;35.0;29.0;3.6;.8;1.0;.0;1;00020142570
72.0;95.0;4.8;18.0;18.0;4.8;4.5;36.0;36.0;4.6;1.0;1.0;.0;1;00020142639
63.0;67.0;4.1;14.0;14.0;4.1;3.6;34.0;29.0;3.8;.9;.0;1.0;1;00020142655
75.0;65.0;3.2;19.0;16.0;3.2;1.7;37.0;18.0;2.5;.5;1.0;.0;0;00020142733
60.0;67.0;3.3;18.0;9.0;3.3;3.6;33.0;24.0;3.4;.7;1.0;.0;0;00020142753
51.0;59.0;3.6;19.0;16.0;3.6;4.0;36.0;33.0;3.8;.9;1.0;.0;1;00020142790
55.0;72.0;3.2;17.0;8.0;3.2;3.4;32.0;21.0;3.3;.7;.0;1.0;0;00020142973
75.0;67.0;3.2;18.0;9.0;3.2;3.5;36.0;27.0;3.4;.8;1.0;.0;0;00020143227
69.0;95.0;4.1;16.0;16.0;4.1;3.9;32.0;32.0;4.0;1.0;1.0;.0;1;00020143308
69.0;67.0;2.8;16.0;10.0;2.8;3.2;35.0;23.0;3.0;.7;.0;1.0;1;00020143586
63.0;69.0;3.5;18.0;12.0;3.5;3.3;39.0;27.0;3.4;.7;1.0;.0;1;00020143778
67.0;59.0;3.4;19.0;13.0;3.4;3.4;35.0;23.0;3.4;.7;.0;1.0;1;00020143979
67.0;61.0;3.8;19.0;19.0;3.8;3.3;35.0;32.0;3.5;.9;1.0;.0;0;00020144152
63.0;64.0;4.2;19.0;19.0;4.2;3.4;34.0;34.0;3.9;1.0;1.0;.0;1;00020144316
60.0;72.0;3.9;18.0;15.0;3.9;3.2;37.0;31.0;3.5;.8;1.0;.0;1;00020144459
60.0;67.0;3.8;18.0;18.0;3.8;3.0;29.0;26.0;3.5;.9;1.0;.0;1;00020144544
58.0;64.0;3.0;13.0;6.0;3.0;1.6;32.0;9.0;2.2;.3;1.0;.0;0;00020144551
67.0;70.0;3.7;15.0;12.0;3.7;3.4;33.0;24.0;3.5;.7;1.0;.0;1;00020145205
58.0;70.0;2.9;18.0;6.0;2.9;3.3;33.0;18.0;3.0;.5;1.0;.0;1;00020145747
64.0;88.0;.0;.0;.0;.0;3.5;16.0;10.0;3.5;.6;1.0;.0;1;00020133982
