Calif Global;Puntaje Lectura Critica;Puntaje Matemática;Promedio Ciclo lectivo 1;Total Créditos Cursados 1;Total Créditos Aprobados 1;Promedio Ponderado Acumulado 1;Promedio Ciclo lectivo 2;Total Créditos Cursados 2;Total Créditos Aprobados 2;Promedio Ponderado Acumulado 2;tasa_aprobacion;Sexo = M;Sexo = F;Benef. Beca = N;Benef. Beca = Y;Estado Programa Académico 2;ID
317.0;65.0;58.0;3.4;19.0;16.0;3.4;3.4;38.0;29.0;3.4;.8;1.0;.0;1.0;.0;1;00020118436
351.0;91.0;58.0;3.7;19.0;16.0;3.7;3.7;38.0;35.0;3.7;.9;.0;1.0;1.0;.0;1;00020119511
344.0;63.0;58.0;3.5;16.0;13.0;3.5;3.2;34.0;23.0;3.3;.7;.0;1.0;1.0;.0;0;00020120026
323.0;57.0;69.0;3.3;17.0;11.0;3.3;3.8;37.0;28.0;3.6;.8;1.0;.0;1.0;.0;1;00020120414
380.0;72.0;83.0;4.3;17.0;17.0;4.3;3.7;37.0;37.0;4.0;1.0;1.0;.0;1.0;.0;1;00020123694
345.0;72.0;64.0;4.1;19.0;17.0;4.1;3.9;39.0;37.0;4.0;.9;.0;1.0;1.0;.0;1;00020126757
324.0;61.0;69.0;3.3;17.0;11.0;3.3;.0;.0;.0;.0;.0;.0;1.0;1.0;.0;0;00020129510
319.0;61.0;75.0;3.7;17.0;17.0;3.7;3.2;37.0;37.0;3.4;1.0;1.0;.0;1.0;.0;1;00020131913
365.0;72.0;74.0;3.8;20.0;20.0;3.8;3.5;37.0;34.0;3.7;.9;1.0;.0;1.0;.0;1;00020131915
320.0;63.0;62.0;3.4;16.0;11.0;3.4;3.2;36.0;22.0;3.3;.6;1.0;.0;1.0;.0;0;00020134263
348.0;72.0;75.0;3.4;17.0;11.0;3.4;3.7;37.0;28.0;3.6;.8;.0;1.0;1.0;.0;1;00020134415
341.0;65.0;72.0;3.9;20.0;20.0;3.9;3.9;37.0;37.0;3.9;1.0;.0;1.0;1.0;.0;1;00020134429
328.0;62.0;67.0;2.1;17.0;2.0;2.1;2.9;32.0;9.0;2.5;.3;1.0;.0;1.0;.0;0;00020134431
337.0;65.0;67.0;3.3;17.0;8.0;3.3;3.6;37.0;28.0;3.4;.8;.0;1.0;1.0;.0;1;00020134513
318.0;60.0;66.0;3.9;20.0;20.0;3.9;3.0;39.0;30.0;3.5;.8;.0;1.0;1.0;.0;1;00020134566
366.0;69.0;72.0;4.0;20.0;20.0;4.0;3.8;40.0;40.0;3.9;1.0;1.0;.0;1.0;.0;1;00020134582
418.0;79.0;89.0;4.3;20.0;20.0;4.3;4.3;40.0;40.0;4.3;1.0;1.0;.0;1.0;.0;1;00020134650
