Calif Global;Puntaje Lectura Critica;Puntaje Matemática;Promedio Ciclo lectivo 1;Total Créditos Cursados 1;Total Créditos Aprobados 1;Promedio Ponderado Acumulado 1;Promedio Ciclo lectivo 2;Total Créditos Cursados 2;Total Créditos Aprobados 2;Promedio Ponderado Acumulado 2;tasa_aprobacion;Sexo = M;Sexo = F;Benef. Beca = N;Benef. Beca = Y;Estado Programa Académico 2;ID
327.0;65.0;74.0;3.1;16.0;13.0;3.1;1.8;32.0;16.0;2.5;.5;1.0;.0;1.0;.0;0;00020131771
305.0;55.0;69.0;2.2;16.0;4.0;2.2;.0;.0;.0;.0;.0;1.0;.0;1.0;.0;0;00020134252
398.0;78.0;79.0;4.4;18.0;18.0;4.4;4.4;34.0;34.0;4.4;1.0;.0;1.0;1.0;.0;1;00020134705
351.0;67.0;77.0;4.4;18.0;18.0;4.4;4.0;37.0;37.0;4.2;1.0;1.0;.0;1.0;.0;1;00020134792
320.0;67.0;59.0;3.4;19.0;16.0;3.4;3.5;38.0;29.0;3.5;.8;.0;1.0;1.0;.0;1;00020135251
361.0;69.0;77.0;3.8;18.0;18.0;3.8;3.6;38.0;35.0;3.7;.9;1.0;.0;1.0;.0;1;00020135269
366.0;69.0;74.0;3.1;18.0;12.0;3.1;3.3;34.0;23.0;3.2;.7;.0;1.0;1.0;.0;0;00020135297
333.0;63.0;75.0;3.6;19.0;19.0;3.6;3.4;38.0;32.0;3.5;.8;1.0;.0;1.0;.0;1;00020135904
332.0;72.0;59.0;3.2;12.0;9.0;3.2;1.6;26.0;13.0;2.3;.5;1.0;.0;1.0;.0;0;00020136317
337.0;63.0;75.0;3.2;18.0;12.0;3.2;3.3;34.0;20.0;3.2;.6;1.0;.0;1.0;.0;0;00020136542
343.0;69.0;66.0;3.6;15.0;15.0;3.6;.0;.0;.0;.0;.0;1.0;.0;1.0;.0;0;00020137452
326.0;65.0;69.0;3.6;18.0;15.0;3.6;4.2;37.0;34.0;3.9;.9;1.0;.0;1.0;.0;1;00020137654
341.0;65.0;70.0;4.2;18.0;18.0;4.2;4.1;36.0;36.0;4.1;1.0;1.0;.0;1.0;.0;1;00020137887
339.0;72.0;63.0;3.8;19.0;16.0;3.8;3.8;38.0;35.0;3.8;.9;1.0;.0;1.0;.0;1;00020138092
334.0;67.0;70.0;4.1;16.0;16.0;4.1;3.9;36.0;36.0;4.0;1.0;1.0;.0;1.0;.0;1;00020138319
379.0;63.0;89.0;4.1;18.0;18.0;4.1;3.9;33.0;33.0;4.0;1.0;1.0;.0;1.0;.0;1;00020138493
336.0;62.0;77.0;4.2;18.0;18.0;4.2;4.2;34.0;34.0;4.2;1.0;1.0;.0;1.0;.0;1;00020138819
322.0;63.0;60.0;3.4;19.0;16.0;3.4;3.3;38.0;29.0;3.3;.8;1.0;.0;1.0;.0;1;00020138926
349.0;70.0;72.0;4.1;18.0;18.0;4.1;3.8;37.0;37.0;3.9;1.0;1.0;.0;1.0;.0;1;00020139226
364.0;65.0;74.0;3.7;18.0;18.0;3.7;3.2;34.0;26.0;3.4;.8;1.0;.0;1.0;.0;1;00020139290
336.0;63.0;56.0;3.5;19.0;19.0;3.5;3.6;37.0;37.0;3.6;1.0;1.0;.0;1.0;.0;1;00020139302
379.0;72.0;75.0;3.8;18.0;18.0;3.8;3.6;38.0;35.0;3.7;.9;1.0;.0;1.0;.0;1;00020139823
338.0;61.0;70.0;3.5;19.0;16.0;3.5;3.4;37.0;28.0;3.5;.8;1.0;.0;1.0;.0;1;00020140341
333.0;65.0;65.0;3.7;19.0;16.0;3.7;4.0;36.0;33.0;3.8;.9;1.0;.0;1.0;.0;1;00020140592
355.0;72.0;75.0;4.0;19.0;19.0;4.0;3.8;36.0;36.0;3.9;1.0;1.0;.0;1.0;.0;1;00020141045
312.0;63.0;66.0;1.1;15.0;.0;1.1;.0;.0;.0;.0;.0;1.0;.0;1.0;.0;0;00020141059
318.0;63.0;55.0;3.0;19.0;12.0;3.0;2.9;33.0;20.0;3.0;.6;1.0;.0;1.0;.0;0;00020141504
338.0;67.0;64.0;.0;.0;.0;.0;2.9;18.0;11.0;2.9;.6;1.0;.0;1.0;.0;0;00020141675
336.0;65.0;74.0;3.5;18.0;15.0;3.5;3.3;34.0;28.0;3.4;.8;1.0;.0;1.0;.0;1;00020141685
340.0;61.0;81.0;3.6;16.0;16.0;3.6;3.2;34.0;28.0;3.4;.8;1.0;.0;1.0;.0;1;00020141704
313.0;60.0;72.0;3.4;18.0;15.0;3.4;3.5;37.0;29.0;3.5;.8;1.0;.0;1.0;.0;1;00020141796
310.0;55.0;66.0;4.0;15.0;15.0;4.0;4.0;32.0;29.0;4.0;.9;.0;1.0;1.0;.0;1;00020141815
337.0;65.0;64.0;3.4;15.0;12.0;3.4;2.7;29.0;19.0;3.1;.7;1.0;.0;1.0;.0;0;00020141917
339.0;69.0;67.0;4.2;19.0;19.0;4.2;3.7;39.0;39.0;4.0;1.0;1.0;.0;1.0;.0;1;00020142080
376.0;70.0;70.0;3.9;15.0;15.0;3.9;3.1;33.0;27.0;3.4;.8;1.0;.0;1.0;.0;1;00020142240
325.0;63.0;61.0;3.4;16.0;13.0;3.4;3.2;34.0;25.0;3.3;.7;1.0;.0;1.0;.0;0;00020142290
313.0;70.0;60.0;1.2;15.0;.0;1.2;.0;.0;.0;.0;.0;1.0;.0;1.0;.0;0;00020142571
320.0;58.0;64.0;3.6;15.0;15.0;3.6;2.9;34.0;22.0;3.2;.6;1.0;.0;1.0;.0;0;00020143134
319.0;57.0;66.0;3.5;18.0;15.0;3.5;4.0;38.0;35.0;3.8;.9;1.0;.0;1.0;.0;1;00020143141
366.0;67.0;81.0;3.6;15.0;12.0;3.6;3.5;28.0;25.0;3.6;.9;1.0;.0;1.0;.0;1;00020143222
352.0;75.0;70.0;3.7;15.0;12.0;3.7;3.3;33.0;25.0;3.5;.8;.0;1.0;1.0;.0;0;00020143312
365.0;84.0;70.0;2.3;18.0;6.0;2.3;2.9;35.0;15.0;2.6;.4;1.0;.0;1.0;.0;0;00020143422
336.0;60.0;72.0;4.3;18.0;18.0;4.3;3.8;35.0;35.0;4.0;1.0;1.0;.0;1.0;.0;1;00020143463
357.0;67.0;67.0;3.8;19.0;19.0;3.8;3.5;33.0;33.0;3.7;1.0;1.0;.0;1.0;.0;1;00020143530
341.0;60.0;75.0;4.0;15.0;15.0;4.0;3.5;33.0;30.0;3.7;.9;1.0;.0;1.0;.0;1;00020143644
362.0;58.0;77.0;3.9;15.0;15.0;3.9;3.7;31.0;31.0;3.8;1.0;1.0;.0;1.0;.0;1;00020143665
330.0;67.0;62.0;3.8;19.0;19.0;3.8;3.8;38.0;38.0;3.8;1.0;.0;1.0;1.0;.0;1;00020143738
67.0;67.0;64.0;3.0;18.0;12.0;3.0;3.4;31.0;23.0;3.1;.7;.0;1.0;1.0;.0;0;00020143849
316.0;62.0;78.0;3.8;15.0;15.0;3.8;3.9;34.0;34.0;3.9;1.0;1.0;.0;1.0;.0;1;00020143945
347.0;75.0;70.0;3.7;18.0;15.0;3.7;3.8;16.0;16.0;3.8;1.0;1.0;.0;1.0;.0;0;00020143980
320.0;67.0;65.0;2.9;19.0;12.0;2.9;.0;.0;.0;.0;.0;1.0;.0;1.0;.0;0;00020144030
325.0;51.0;70.0;3.5;18.0;15.0;3.5;3.8;35.0;32.0;3.6;.9;1.0;.0;1.0;.0;1;00020144115
314.0;65.0;67.0;3.6;15.0;13.0;3.6;2.6;34.0;20.0;3.0;.6;1.0;.0;1.0;.0;0;00020144281
342.0;72.0;64.0;2.8;15.0;5.0;2.8;.0;.0;.0;.0;.0;1.0;.0;1.0;.0;0;00020144284
